GEOID,NAME,mean
17031,Cook,6.423065784232543E-5
17097,Lake,1.373528231199593E-4
18039,Elkhart,6.876761019375562E-5
18141,St. Joseph,5.141873865500243E-5
18087,LaGrange,7.139622709356672E-5
18127,Porter,3.5502385436131084E-5
18091,LaPorte,5.141873865500243E-5
18151,Steuben,5.602997547063514E-5
26017,Bay,2.4426683479462113E-5
26111,Midland,5.0021688585400485E-5
26145,Saginaw,3.594443577713438E-5
26021,Berrien,1.0868669336233712E-4
26027,Cass,7.970592531075019E-5
26035,Clare,3.0304976141678197E-5
26153,Schoolcraft,6.848489969558708E-5
26003,Alger,1.0110910145118904E-4
26123,Newaygo,4.0688742164921215E-5
26151,Sanilac,1.0383477150452907E-4
26071,Iron,4.466994065430247E-5
26131,Ontonagon,7.027332629362647E-5
26013,Baraga,4.511403904029933E-5
26001,Alcona,8.444140028909805E-5
26085,Lake,4.577708770902681E-5
26009,Antrim,4.4001377804712585E-5
26143,Roscommon,5.752599350038762E-6
26095,Luce,8.106567667904561E-5
26053,Gogebic,4.185322720667807E-5
26119,Montmorency,4.374145254402862E-5
26135,Oscoda,1.2950722910409273E-5
26129,Ogemaw,1.2950722910409273E-5
26157,Tuscola,9.800966276068758E-6
26127,Oceana,1.1034598372419684E-4
26141,Presque Isle,1.1328488665591619E-4
26137,Otsego,2.6556571077236276E-5
26063,Huron,7.698169140713033E-5
26069,Iosco,8.838381170904354E-5
26029,Charlevoix,4.731365682066407E-5
26011,Arenac,2.3326876994898926E-5
26047,Emmet,4.233937463876003E-5
26031,Cheboygan,3.811433314790156E-5
26051,Gladwin,2.7887143967719625E-5
26039,Crawford,5.752599350038762E-6
26097,Mackinac,5.894994896544541E-5
26101,Manistee,4.027708120751263E-5
26133,Osceola,4.373907685745977E-5
26007,Alpena,1.1196981773408518E-4
26165,Wexford,5.2881608261361944E-5
26113,Missaukee,3.8537996853567934E-5
26023,Branch,5.5235117367400665E-5
26041,Delta,4.200022911524524E-5
26059,Hillsdale,3.6523444894951794E-5
26083,Keweenaw,8.521231785020243E-5
26061,Houghton,6.839005283808574E-5
26043,Dickinson,2.8240062291401977E-5
26075,Jackson,2.8518905586298374E-5
26105,Mason,7.519561856476679E-5
26109,Menominee,2.262196405842626E-5
26103,Marquette,4.9158943235556494E-5
26033,Chippewa,7.690436978146248E-5
26089,Leelanau,4.530873297098043E-5
26079,Kalkaska,3.8537996853567934E-5
26019,Benzie,4.053291792915654E-5
26055,Grand Traverse,5.2674303467807074E-5
26057,Gratiot,5.0021688585400485E-5
26073,Isabella,4.72794409175173E-5
26025,Calhoun,4.24072961359714E-5
26159,Van Buren,1.442142118713307E-4
26077,Kalamazoo,5.556471876197742E-5
26149,St. Joseph,6.611905764970364E-5
26037,Clinton,3.5686499919332415E-5
26065,Ingham,2.8518905586298374E-5
26045,Eaton,3.2726032080292895E-5
26155,Shiawassee,3.444076509237993E-5
26091,Lenawee,4.376334678463519E-5
26161,Washtenaw,3.592167403450342E-5
26163,Wayne,4.569545022102564E-5
26087,Lapeer,1.753194492118264E-5
26147,St. Clair,1.0283938238924338E-4
26093,Livingston,3.502540015341806E-5
26099,Macomb,8.227080875071478E-5
26125,Oakland,3.796381705469791E-5
26049,Genesee,2.1716018528565706E-5
26115,Monroe,5.4581649565166695E-5
26107,Mecosta,3.459654545355759E-5
26139,Ottawa,1.3368994961796563E-4
26015,Barry,5.556471876197742E-5
26081,Kent,4.5080632107767505E-5
26117,Montcalm,3.838961343679765E-5
26005,Allegan,1.4013044383767923E-4
26067,Ionia,4.4279051745891345E-5
26121,Muskegon,1.0821435398239131E-4
27031,Cook,5.5043556332168174E-5
39051,Fulton,4.5418929327417475E-5
39095,Lucas,6.240180604068143E-5
39171,Williams,4.0663723847703565E-5
55003,Ashland,2.4381234544641988E-5
55125,Vilas,3.75206357498205E-5
55041,Forest,8.646114899380185E-6
55051,Iron,1.4012410038605658E-5
55029,Door,4.6257480075940936E-5
55037,Florence,8.697971388557304E-6
55071,Manitowoc,7.380979176300681E-5
55075,Marinette,1.7729048228132946E-5
55117,Sheboygan,9.453248997062509E-5
55059,Kenosha,1.349918984469848E-4
55079,Milwaukee,1.1544668576839549E-4
55089,Ozaukee,1.0272755956840227E-4
55101,Racine,1.3424589812638643E-4
55061,Kewaunee,6.063722793572828E-5
