GEOID,NAME,mean
17031,Cook,14875.48148148148
17097,Lake,14854.57638888889
18039,Elkhart,14760.627192982454
18141,St. Joseph,14774.666666666666
18087,LaGrange,14758.5
18127,Porter,14859.675675675677
18091,LaPorte,14774.666666666666
18151,Steuben,14743.25
26017,Bay,14755.09090909091
26111,Midland,14757.0
26145,Saginaw,14755.95
26021,Berrien,14806.117816091954
26027,Cass,14772.879844961239
26035,Clare,14704.379310344826
26153,Schoolcraft,14581.521428571428
26003,Alger,14557.107931726909
26123,Newaygo,14707.24
26151,Sanilac,14706.82608695652
26071,Iron,14615.060975609755
26131,Ontonagon,14636.815277777781
26013,Baraga,14615.0
26001,Alcona,14669.0
26085,Lake,14687.745833333334
26009,Antrim,14638.303703703705
26143,Roscommon,14658.0
26095,Luce,14552.857142857145
26053,Gogebic,14655.131355932204
26119,Montmorency,14623.31111111111
26135,Oscoda,14660.630434782608
26129,Ogemaw,14660.630434782608
26157,Tuscola,14754.0
26127,Oceana,14743.165048543691
26141,Presque Isle,14602.138461538461
26137,Otsego,14622.642857142857
26063,Huron,14722.636363636364
26069,Iosco,14669.0
26029,Charlevoix,14619.752136752139
26011,Arenac,14699.575
26047,Emmet,14610.887323943662
26031,Cheboygan,14603.0
26051,Gladwin,14707.5
26039,Crawford,14658.0
26097,Mackinac,14579.390728476823
26101,Manistee,14683.767688679245
26133,Osceola,14685.749999999998
26007,Alpena,14614.16239316239
26165,Wexford,14667.5
26113,Missaukee,14664.608695652172
26023,Branch,14754.046511627907
26041,Delta,14635.06426056338
26059,Hillsdale,14746.068181818182
26083,Keweenaw,14580.436458333334
26061,Houghton,14613.19375
26043,Dickinson,14641.88524590164
26075,Jackson,14781.0
26105,Mason,14717.019841269841
26109,Menominee,14677.5
26103,Marquette,14620.651530612244
26033,Chippewa,14547.71028037383
26089,Leelanau,14644.344512195123
26079,Kalkaska,14664.608695652172
26019,Benzie,14683.437499999998
26055,Grand Traverse,14665.507246376814
26057,Gratiot,14757.0
26073,Isabella,14747.577777777778
26025,Calhoun,14771.243243243243
26159,Van Buren,14799.803571428572
26077,Kalamazoo,14762.0
26149,St. Joseph,14759.666666666668
26037,Clinton,14773.000000000002
26065,Ingham,14781.0
26045,Eaton,14778.044444444446
26155,Shiawassee,14767.65
26091,Lenawee,14756.500000000002
26161,Washtenaw,14738.675675675677
26163,Wayne,14724.925925925925
26087,Lapeer,14746.588235294117
26147,St. Clair,14704.436363636365
26093,Livingston,14743.800000000003
26099,Macomb,14715.114285714284
26125,Oakland,14727.0
26049,Genesee,14742.576923076922
26115,Monroe,14773.92
26107,Mecosta,14704.0
26139,Ottawa,14780.251968503935
26015,Barry,14762.0
26081,Kent,14733.0
26117,Montcalm,14717.032786885247
26005,Allegan,14797.205673758865
26067,Ionia,14752.77777777778
26121,Muskegon,14741.986111111111
27031,Cook,14547.955615942028
39051,Fulton,14742.875000000002
39095,Lucas,14796.0
39171,Williams,14728.0
55003,Ashland,14614.692771084336
55125,Vilas,14658.759259259261
55041,Forest,14623.237499999997
55051,Iron,14651.39393939394
55029,Door,14694.201030927836
55037,Florence,14620.0
55071,Manitowoc,14757.78373015873
55075,Marinette,14653.021008403362
55117,Sheboygan,14736.090909090908
55059,Kenosha,14851.668749999997
55079,Milwaukee,14776.70108695652
55089,Ozaukee,14733.396551724136
55101,Racine,14850.75
55061,Kewaunee,14754.566810344826
