County,Percent,MeanCM,MeanSD,NDVI,Temp,Poverty
Alcona,2.9,0.030114,8.44E-05,0.1960860472,71.84268966,19.5
Alger,15.3,0.029892,0.000101,0.09422990462,55.87508122,12.6
Allegan,5.1,0.029749,0.00014,0.2178441524,73.30387234,10.7
Alpena,3.1,0.030215,0.000112,0.1650385426,68.83333333,15.3
Antrim,3.4,0.029771,4.40E-05,0.4180299151,70.9996,10.6
Arenac,3.7,0.030424,2.33E-05,0.2544163342,77.2115,15.9
Baraga,26.9,0.02816,4.51E-05,0.4836756689,65.012,15.4
Barry,3.3,0.030265,5.56E-05,0.4650153101,76.982,8.5
Bay,5.4,0.030397,2.44E-05,0.3045508444,80.114,15.6
Benzie,4.3,0.030187,4.05E-05,0.1970547484,70.83732258,10.3
Berrien,20.4,0.029796,0.000109,0.1705663906,77.09496552,15.3
Branch,5.5,0.030282,5.52E-05,0.3988253223,80.66823256,14.5
Calhoun,18.5,0.030233,4.24E-05,0.4454202771,79.04859459,17.3
Cass,10.4,0.03008,7.97E-05,0.4709476222,79.21609302,11.2
Charlevoix,4.6,0.029995,4.73E-05,0.1536703248,69.43136,10.6
Cheboygan,6.9,0.029638,3.81E-05,0.429590663,68.918,13.4
Chippewa,29.2,0.029655,7.69E-05,0.2982852137,62.76309346,17.1
Clare,3.5,0.02979,3.03E-05,0.5179949954,77.2762069,20.6
Clinton,6.4,0.030316,3.57E-05,0.3810574506,80.858,7.5
Crawford,3.9,0.029198,5.75E-06,0.4764765412,75.47,13.6
Delta,6.1,0.030138,4.20E-05,0.2953789003,70.57716901,12.4
Dickinson,3.6,0.029344,2.82E-05,0.529617372,68.43554098,10.8
Eaton,12.5,0.03021,3.27E-05,0.4039091879,80.5692,9.3
Emmet,7.6,0.029802,4.23E-05,0.284215959,69.15377465,8.3
Genesee,24.6,0.030211,2.17E-05,0.4451938186,80.24346154,18.8
Gladwin,2.7,0.029874,2.79E-05,0.5152140998,77.792,15.6
Gogebic,8.9,0.028466,4.19E-05,0.4361169981,66.182,17.5
Grand Traverse,4.9,0.029629,5.27E-05,0.3741435253,72.26521739,9.5
Gratiot,8.7,0.030551,5.00E-05,0.3594949799,80.114,16.2
Hillsdale,3.3,0.030227,3.65E-05,0.4422863504,81.70454545,13.5
Houghton,6.7,0.02886,6.84E-05,0.3871944846,60.4979661,19
Huron,2.5,0.030143,7.70E-05,0.1636145561,75.44463087,12.6
Ingham,24.4,0.030199,2.85E-05,0.437735604,81.23,18.1
Ionia,7.5,0.030052,4.43E-05,0.4093018461,78.146,9.9
Iosco,4.7,0.030058,8.84E-05,0.1388214624,71.54836842,15.1
Iron,4.1,0.028738,4.47E-05,0.5474633784,66.182,14.2
Isabella,12,0.028164,4.73E-05,0.4260815359,79.4548,23.4
Jackson,12.4,0.030316,2.85E-05,0.4728681481,81.23,13.7
Kalamazoo,18.7,0.030199,5.56E-05,0.456446211,76.982,14.4
Kalkaska,4.5,0.030265,3.85E-05,0.5030571777,73.32878261,14.1
Kent,17.7,0.029485,4.51E-05,0.4500505909,76.694,11.3
Keweenaw,2.2,0.029748,8.52E-05,0.04163722639,54.93180519,12
Lake,12.8,0.029513,0.000137,0.1361141773,73.15933333,22.3
Lapeer,3.9,0.02967,1.75E-05,0.4732010082,80.198,10.1
Leelanau,7.1,0.029471,4.53E-05,0.06273248727,70.79245854,7
Lenawee,6.3,0.030245,4.38E-05,0.4053731582,80.88446429,10.4
Livingston,3.6,0.030152,3.50E-05,0.4858389301,80.672,5
Luce,20.8,0.030421,8.11E-05,0.2443774318,55.69657143,20.7
Mackinac,25.7,0.030115,5.89E-05,0.2516765744,64.43421192,13.4
Macomb,19.2,0.029352,8.23E-05,0.3244249262,80.42,11
Manistee,8.3,0.02961,4.03E-05,0.223778816,70.80511321,13.1
Marquette,6.7,0.030912,4.92E-05,0.2800652107,61.0142,14.1
Mason,4.7,0.030199,7.52E-05,0.1980621303,70.054,12.1
Mecosta,7,0.029302,3.46E-05,0.4814363372,76.406,18.4
Menominee,5.9,0.030159,2.26E-05,0.3956785988,71.618,12.4
Midland,6.1,0.029231,5.00E-05,0.5140350712,80.114,11.3
Missaukee,4,0.030117,3.85E-05,0.518974119,73.32878261,12.9
Monroe,5.6,0.030551,5.46E-05,0.3223522826,79.59992,10
Montcalm,5.2,0.029485,3.84E-05,0.4468856583,77.31780328,14.3
Montmorency,3.2,0.03072,4.37E-05,0.5090410914,71.102,18.2
Muskegon,18.9,0.029555,0.000108,0.1633457972,69.8085,15.7
Newaygo,4.3,0.029741,4.07E-05,0.5016468323,75.86312,15.6
Oakland,24.7,0.029991,3.80E-05,0.4390915328,80.42,8.2
Oceana,4.9,0.029296,0.00011,0.2013608072,69.62,15.5
Ogemaw,3.6,0.030077,1.30E-05,0.5062172527,75.47,15.9
Ontonagon,4,0.030015,7.03E-05,0.1977329621,61.653875,14.1
Osceola,4,0.029582,4.37E-05,0.5094603963,74.399,17.6
Oscoda,3.3,0.029264,1.30E-05,0.4948552385,75.47,17.1
Otsego,4.2,0.029421,2.66E-05,0.5100589302,71.258,11.4
Ottawa,7.5,0.029582,0.000134,0.1515926352,72.07423622,6.8
Presque Isle,3.3,0.029481,0.000113,0.1208856044,68.25863158,14.2
Roscommon,3.7,0.029723,5.75E-06,0.4626947609,75.47,17.1
Saginaw,23.8,0.030279,3.59E-05,0.4270573531,80.114,17
Sanilac,2.8,0.029198,0.000104,0.2626271711,75.2803622,15.9
Schoolcraft,13.8,0.030466,6.85E-05,0.3180634219,66.78101429,13.2
Shiawassee,3.5,0.030278,3.44E-05,0.3788155533,80.7863,10.8
St. Clair,6,0.029789,0.000103,0.382827406,78.48614545,13.8
St. Joseph,6.3,0.030289,6.61E-05,0.3978405337,81.572,13.6
Tuscola,3.7,0.030309,9.80E-06,0.3978654538,80.114,12.7
Van Buren,8.6,0.029725,0.000144,0.281600311,73.1075,15.3
Washtenaw,25.9,0.030104,3.59E-05,0.4611509277,80.59513514,15
Wayne,45.4,0.030223,4.57E-05,0.3335597884,80.42,21.7
Wexford,3.8,0.029611,5.29E-05,0.5160679103,72.392,13.1
